Customer ID,Credit Card Number,native-country,State in the Country,Average Transaction Amount
74878,3743436801002639,b'United-States',New York,3936.6624804801854
19361,0287433952455704,b'United-States',Ohio,2609.8575740197343
67298,5005859719737551,b'United-States',Texas,9068.052625318734
52633,3534658370368585,b'United-States',Illinois,6542.891830461166
82911,4917476070220467,b'United-States',Ohio,5729.589367805339
10169,8147187432681057,b'United-States',Texas,2334.155332886453
51845,5576220985075537,b'United-States',Florida,7194.222211672199
87678,0169198314171454,b'United-States',New York,9136.710942179508
32711,9294630667759697,b'United-States',Virginia,8657.402644129772
98793,8823775852449838,b'United-States',California,8053.60262916898
86474,8784355796435124,b'United-States',Virginia,8313.595460536517
18766,4699185811575279,b'United-States',Illinois,214.8262836567872
47495,1660748553055581,b'United-States',Texas,3158.6011534872123
83621,9781058913218850,b'United-States',Ohio,4806.1049931151065
76486,2228264681247593,b'United-States',Ohio,6875.216456118123
12139,5232196570178144,b'United-States',Florida,1491.5206271404
56138,6239855694705944,b'United-States',Virginia,4827.081312323717
68307,1744038486700689,b'United-States',Georgia,3221.8753675139133
82157,5732478369997025,b'United-States',Florida,3088.648768428033
74670,5249633445269850,b'?',Georgia,4270.172832189043
36769,0260733576450526,b'United-States',Texas,6574.031990600812
64164,4944598250387592,b'United-States',Florida,8107.068141347971
29304,0525998831386356,b'United-States',California,8972.982827243064
87670,2528476642238137,b'Peru',Virginia,180.604728069426
66321,2410187954867341,b'United-States',Ohio,5769.527963217033
30328,6812742903101539,b'United-States',Illinois,337.58646695245864
26181,2072017690090372,b'United-States',Virginia,6295.038704602295
80350,4438463989242939,b'United-States',Illinois,7890.396508396313
24421,6909929066295208,b'United-States',Virginia,8360.92104864368
93011,7274446404552979,b'United-States',Florida,9838.177874625331
49621,7800353901541549,b'United-States',Georgia,163.90348963476492
68295,6784257760439636,b'United-States',New York,2553.277002966098
73345,0157748887947337,b'United-States',Georgia,4647.2879383067575
65348,9448697559023554,b'United-States',California,6431.896822060206
93512,8385580347641559,b'United-States',Texas,8542.640029722766
41950,2393994751292411,b'United-States',Georgia,7028.5599154649535
49448,2236545622997390,b'United-States',Ohio,1020.8602306493024
98941,2198563887661010,b'Guatemala',Virginia,4430.227501182203
93226,5274524197993702,b'United-States',Georgia,8232.453227255835
76413,3846198044032818,b'United-States',Ohio,1356.0617647639967
55986,7598765086199168,b'United-States',Texas,2800.776854380416
93923,9147669367606098,b'United-States',Ohio,1581.9309371638983
91009,8798590058634662,b'United-States',New York,6252.00768801351
94520,8086849623998208,b'United-States',Virginia,1199.7907846072492
24662,1288274722270292,b'United-States',Texas,2702.6037436249894
57364,9863229114501289,b'United-States',California,1902.314631583909
45749,5123906712675080,b'Mexico',Florida,2461.2676367625145
95935,7470333325317985,b'United-States',Georgia,3517.101730749314
74649,0990655419067512,b'United-States',Ohio,1967.8961335336276
26184,1425114730862169,b'United-States',Illinois,1785.4009500185052
60812,6569102554137120,b'United-States',Texas,7891.463092103122
17426,8019797668501762,b'United-States',Florida,6639.138677889147
58936,6198197087090232,b'United-States',Virginia,2785.7755894896864
60269,9728967994321629,b'United-States',Georgia,7199.080116861176
28628,2066798967749088,b'Mexico',Ohio,2463.670847152536
15313,7402653595163742,b'United-States',Texas,7459.755919656463
42651,6422998314987214,b'United-States',Illinois,6976.70056402198
22569,3711386960945835,b'United-States',Georgia,8893.036586225759
94199,5249765283524124,b'United-States',California,3009.7616094553814
